experiment,frequency,shell,threads,utility,op1,op2,sysfs-powercap-rapl,perf-ipc,perf-freq,ipc-estimate,metricq
14,0,0,88,423,0,0,362.832588,3.688333,0.792263,0.000000,1047.700000
13,0,0,88,670,0,0,381.061666,3.139890,0.791915,0.000000,1067.200000
3,0,0,88,19037,0,0,293.370308,2.106086,0.791025,0.000000,970.920000
9,0,0,88,18556,0,0,294.525357,2.052159,0.791221,0.000000,972.180000
11,0,0,88,4271,0,0,282.985286,0.064456,0.791124,0.000000,960.320000
6,0,0,88,67629558,0,0,415.751046,3.663893,0.791308,0.000000,1101.720000
4,0,0,96,429649506,0,0,307.608771,2.111418,0.790207,0.000000,987.100000
5,0,0,96,103262,0,0,328.046803,3.844752,0.791224,0.000000,1011.720000
8,0,0,96,614,0,0,360.304191,2.942901,0.791927,0.000000,1042.480000
14,0,0,96,415,0,0,370.354562,3.688286,0.792455,0.000000,1055.040000
13,0,0,96,658,0,0,391.542969,3.137395,0.792118,0.000000,1075.500000
3,0,0,96,18697,0,0,295.750500,2.105974,0.790985,0.000000,971.420000
9,0,0,96,18237,0,0,295.667695,2.052178,0.790994,0.000000,972.900000
11,0,0,96,4196,0,0,283.577147,0.064455,0.791200,0.000000,959.920000
6,0,0,96,66417167,0,0,427.554016,3.663381,0.791277,0.000000,1113.480000
4,0,0,104,421736270,0,0,314.032362,2.111249,0.790289,0.000000,989.460000
5,0,0,104,101459,0,0,334.626536,3.844814,0.791592,0.000000,1015.700000
8,0,0,104,602,0,0,368.119106,2.942805,0.792063,0.000000,1048.660000
14,0,0,104,408,0,0,382.136996,3.687464,0.792124,0.000000,1062.680000
13,0,0,104,650,0,0,403.020762,3.141361,0.792382,0.000000,1087.320000
3,0,0,104,18375,0,0,297.165511,2.106037,0.791042,0.000000,972.960000
9,0,0,104,17913,0,0,297.596014,2.052163,0.791187,0.000000,974.380000
11,0,0,104,4124,0,0,285.238861,0.064455,0.791050,0.000000,960.520000
6,0,0,104,65073342,0,0,441.229644,3.662167,0.791283,0.000000,1125.720000
4,0,0,112,414381453,0,0,313.770662,2.111473,0.790106,0.000000,991.800000
5,0,0,112,99633,0,0,342.648443,3.844920,0.791105,0.000000,1020.860000
8,0,0,112,591,0,0,373.155235,2.942616,0.791984,0.000000,1055.540000
14,0,0,112,400,0,0,390.412630,3.688226,0.792005,0.000000,1070.520000
13,0,0,112,641,0,0,414.802758,3.143605,0.792412,0.000000,1098.920000
3,0,0,112,18047,0,0,297.770591,2.105965,0.791245,0.000000,974.100000
9,0,0,112,17600,0,0,297.767696,2.052145,0.791233,0.000000,975.500000
11,0,0,112,4049,0,0,285.385725,0.064455,0.791322,0.000000,960.320000
6,0,0,112,63661352,0,0,450.068698,3.657021,0.790605,0.000000,1137.720000
4,0,0,8,1,0,0,275.092533,2.120224,0.792645,0.000000,963.600000
5,0,0,8,1,0,0,274.725713,3.831913,0.792608,0.000000,965.360000
8,0,0,8,1,0,0,277.806172,2.943705,0.792650,0.000000,968.900000
14,0,0,8,1,0,0,278.779354,3.680118,0.792328,0.000000,970.020000
13,0,0,8,1,0,0,279.349366,3.149500,0.792233,0.000000,971.520000
3,0,0,8,1,0,0,271.280666,2.105247,0.792710,0.000000,962.120000
9,0,0,8,1,0,0,271.425822,2.050572,0.792925,0.000000,962.100000
11,0,0,8,1,0,0,271.094894,0.064459,0.792844,0.000000,961.080000
6,0,0,8,1,0,0,283.440861,3.680658,0.791641,0.000000,974.860000
4,0,0,16,1,0,0,275.014086,2.119784,0.792655,0.000000,965.280000
5,0,0,16,1,0,0,278.813591,3.836103,0.792663,0.000000,969.300000
8,0,0,16,1,0,0,283.416711,2.943947,0.792608,0.000000,975.520000
14,0,0,16,1,0,0,285.735790,3.679372,0.792650,0.000000,977.740000
13,0,0,16,1,0,0,289.657540,3.144696,0.792693,0.000000,980.740000
3,0,0,16,1,0,0,273.745239,2.105584,0.792795,0.000000,962.680000
9,0,0,16,1,0,0,274.694857,2.051502,0.792856,0.000000,963.060000
11,0,0,16,1,0,0,270.882898,0.064458,0.792700,0.000000,960.980000
6,0,0,16,1,0,0,295.129012,3.678230,0.792135,0.000000,988.000000
4,0,0,24,1,0,0,278.872676,2.119837,0.792515,0.000000,967.740000
5,0,0,24,1,0,0,282.660737,3.838776,0.792748,0.000000,973.820000
8,0,0,24,1,0,0,288.275673,2.944033,0.792781,0.000000,982.280000
14,0,0,24,1,0,0,293.648341,3.676748,0.793062,0.000000,985.600000
13,0,0,24,1,0,0,299.365715,3.141040,0.792725,0.000000,990.000000
3,0,0,24,1,0,0,274.901422,2.105742,0.792692,0.000000,963.980000
9,0,0,24,1,0,0,274.762042,2.051807,0.792748,0.000000,964.360000
11,0,0,24,1,0,0,270.756571,0.064457,0.792699,0.000000,960.960000
6,0,0,24,1,0,0,306.144107,3.675624,0.792168,0.000000,1000.760000
4,0,0,32,1,0,0,278.739168,2.119708,0.792483,0.000000,969.920000
5,0,0,32,1,0,0,286.472167,3.837734,0.792779,0.000000,978.100000
8,0,0,32,1,0,0,294.420926,2.943843,0.792753,0.000000,988.680000
14,0,0,32,1,0,0,301.065412,3.675987,0.793039,0.000000,993.060000
13,0,0,32,1,0,0,306.660910,3.137153,0.792829,0.000000,998.900000
3,0,0,32,1,0,0,275.029509,2.105810,0.792806,0.000000,964.880000
9,0,0,32,1,0,0,275.052834,2.051968,0.792759,0.000000,965.260000
11,0,0,32,1,0,0,271.033689,0.064456,0.792700,0.000000,960.740000
6,0,0,32,1,0,0,317.473757,3.673293,0.792282,0.000000,1013.300000
4,0,0,40,1,0,0,282.576844,2.119326,0.792509,0.000000,972.160000
5,0,0,40,1,0,0,290.298782,3.839302,0.792749,0.000000,982.240000
8,0,0,40,1,0,0,301.852605,2.943789,0.793015,0.000000,995.160000
14,0,0,40,1,0,0,307.691360,3.675533,0.793074,0.000000,1000.560000
13,0,0,40,1,0,0,312.877078,3.133803,0.793051,0.000000,1007.060000
3,0,0,40,1,0,0,274.955795,2.105862,0.792711,0.000000,965.700000
9,0,0,40,1,0,0,275.179817,2.052105,0.792780,0.000000,966.520000
11,0,0,40,1,0,0,271.117460,0.064456,0.792684,0.000000,960.800000
