experiment,frequency,shell,threads,utility,op1,op2,ipc-estimate,metricq,perf-freq,perf-ipc,sysfs-powercap-rapl,sysfs-powercap-rapl/package-0,sysfs-powercap-rapl/package-0-dram,sysfs-powercap-rapl/package-1,sysfs-powercap-rapl/package-1-dram
5,0,1,28,434943,0,0,0.000000,1178.860000,1.996372,5.461250,474.058399,250.634285,12.731490,199.265987,11.426557
8,0,1,28,2127,0,0,0.000000,1201.862745,1.995378,3.349430,495.636081,259.366907,25.541238,199.306845,11.420800
14,0,1,28,1451,0,0,0.000000,1212.320000,1.993834,4.229415,503.752341,263.227994,29.698457,199.376208,11.449697
13,0,1,28,1576,0,0,0.000000,1195.180000,1.993094,2.574188,489.930281,247.612458,31.536559,199.362052,11.418809
3,0,1,28,56081,0,0,0.000000,1126.102041,1.996359,2.121481,430.248842,206.622513,12.857167,199.355864,11.413213
9,0,1,28,56024,0,0,0.000000,1125.500000,1.996420,2.113194,429.348069,205.719612,12.885139,199.334685,11.408658
11,0,1,28,12494,0,0,0.000000,1113.840000,1.996435,0.064480,421.536646,197.976232,12.847224,199.289996,11.423200
6,0,1,28,82512875,0,0,0.000000,1271.734694,1.990744,3.730509,553.190679,313.846483,28.569252,199.359023,11.415899
4,0,1,42,1629751829,0,0,0.000000,1177.960000,1.996356,2.669520,474.073711,250.404319,12.835365,199.426665,11.407292
5,0,1,42,431496,0,0,0.000000,1229.380000,1.996482,5.458959,516.656081,293.082637,12.774221,199.400385,11.398934
8,0,1,42,2112,0,0,0.000000,1252.431373,1.995466,3.338156,537.849800,297.011568,30.012805,199.432144,11.393291
14,0,1,42,1457,0,0,0.000000,1268.100000,1.993528,4.298212,551.056315,301.087827,39.127369,199.419983,11.421241
13,0,1,42,1586,0,0,0.000000,1241.420000,1.993308,2.571212,528.960168,277.039548,41.056852,199.426201,11.438149
3,0,1,42,55861,0,0,0.000000,1150.632653,1.996605,2.121426,451.460888,227.781527,12.857652,199.399216,11.422512
9,0,1,42,55751,0,0,0.000000,1148.340000,1.996607,2.113207,448.059436,224.462292,12.804642,199.359692,11.432814
11,0,1,42,12435,0,0,0.000000,1131.510204,1.996619,0.064480,436.409094,212.820011,12.828858,199.346575,11.413682
6,0,1,42,80900195,0,0,0.000000,1326.163265,1.990568,3.718380,597.018684,349.780304,37.323905,198.531238,11.383519
4,0,1,56,1620170311,0,0,0.000000,1211.306122,1.995098,2.671564,500.692393,276.907999,12.837491,199.564899,11.381855
5,0,1,56,430069,0,0,0.000000,1276.900000,1.995269,5.460657,555.068327,331.297793,12.793465,199.614087,11.369715
8,0,1,56,2094,0,0,0.000000,1303.490196,1.994234,3.334114,578.828655,332.391904,35.495970,199.577839,11.363254
14,0,1,56,1446,0,0,0.000000,1324.620000,1.992899,4.293405,597.486847,339.354501,47.241796,199.540482,11.350276
13,0,1,56,1572,0,0,0.000000,1288.540000,1.992580,2.574146,569.141814,307.398339,50.845926,199.514291,11.383080
3,0,1,56,55560,0,0,0.000000,1166.142857,1.995960,2.121451,463.291957,239.621741,12.848293,199.413575,11.408388
9,0,1,56,55464,0,0,0.000000,1163.340000,1.995982,2.113261,461.635082,238.078061,12.796676,199.349431,11.410907
11,0,1,56,12375,0,0,0.000000,1141.400000,1.995979,0.064480,444.140824,220.587853,12.808716,199.334896,11.409352
6,0,1,56,76681151,0,0,0.000000,1334.163265,1.897193,3.756954,604.166538,349.797316,43.729545,199.291276,11.348275
4,0,2,14,2453392408,0,0,0.000000,1184.489796,2.995439,2.682077,479.448489,240.606199,12.801013,214.673596,11.367813
5,0,2,14,634738,0,0,0.000000,1211.540000,2.895558,5.450598,502.565236,263.809445,12.766349,214.648458,11.340930
8,0,2,14,2974,0,0,0.000000,1220.380000,2.919795,3.137881,510.451328,264.625923,19.807243,214.660885,11.357561
14,0,2,14,1692,0,0,0.000000,1219.760000,2.971255,3.348035,510.421059,261.503699,22.893023,214.648643,11.375458
13,0,2,14,1680,0,0,0.000000,1199.920000,2.989147,1.807135,494.516559,245.495894,23.022238,214.615790,11.382569
3,0,2,14,84845,0,0,0.000000,1161.612245,2.995275,2.121653,460.681844,221.909103,12.827420,214.553975,11.391414
9,0,2,14,84644,0,0,0.000000,1161.440000,2.995260,2.112496,461.344183,222.669556,12.788210,214.512493,11.373966
11,0,2,14,18892,0,0,0.000000,1148.000000,2.995272,0.064481,449.119521,210.444438,12.794058,214.503597,11.377397
6,0,2,14,87814713,0,0,0.000000,1225.200000,2.188128,3.562230,515.026588,267.749067,21.347219,214.518939,11.411444
4,0,2,28,2467533300,0,0,0.000000,1234.700000,2.995669,2.678853,522.797340,284.064185,12.752405,214.619232,11.361585
5,0,2,28,633356,0,0,0.000000,1290.160000,2.895710,5.459402,566.643632,327.857757,12.742706,214.698992,11.344205
8,0,2,28,2963,0,0,0.000000,1304.340000,2.912533,3.153239,579.849063,325.965306,27.759318,214.728533,11.395676
14,0,2,28,1684,0,0,0.000000,1304.938776,2.974912,3.354452,579.870767,321.709395,32.017587,214.749401,11.394185
13,0,2,28,1675,0,0,0.000000,1265.960000,2.991160,1.814161,548.098736,289.663473,32.289798,214.723382,11.422298
3,0,2,28,84522,0,0,0.000000,1193.224490,2.995734,2.121789,486.037024,247.152098,12.856813,214.658984,11.369111
9,0,2,28,84348,0,0,0.000000,1190.340000,2.995659,2.112603,485.362098,246.822546,12.779401,214.377334,11.382792
11,0,2,28,18816,0,0,0.000000,1166.820000,2.995683,0.064481,464.680134,225.991542,12.758495,214.533694,11.396368
6,0,2,28,86723156,0,0,0.000000,1315.620000,2.189844,3.549353,589.955893,334.684520,29.285691,214.605657,11.379902
4,0,2,42,2455305283,0,0,0.000000,1300.448980,2.995800,2.668639,573.901799,335.089407,12.762855,214.690723,11.358874
5,0,2,42,605892,0,0,0.000000,1318.440000,2.785124,5.459062,588.655321,349.853279,12.731375,214.710249,11.360260
8,0,2,42,2904,0,0,0.000000,1343.280000,2.912118,3.126475,610.675309,349.861292,34.718219,214.725853,11.370291
14,0,2,42,1657,0,0,0.000000,1349.860000,2.966897,3.341764,616.938770,349.818919,41.354332,214.366704,11.399113
13,0,2,42,1662,0,0,0.000000,1330.280000,2.991201,1.813080,601.520778,333.951093,41.397023,214.748554,11.424891
3,0,2,42,84189,0,0,0.000000,1235.163265,2.995830,2.121711,521.533401,282.629357,12.781783,214.736487,11.385824
9,0,2,42,83955,0,0,0.000000,1229.740000,2.995815,2.112477,517.583414,278.747281,12.755283,214.699422,11.381542
11,0,2,42,18744,0,0,0.000000,1195.061224,2.995825,0.064481,488.332060,249.568433,12.747552,214.650165,11.365881
6,0,2,42,84332636,0,0,0.000000,1313.469388,2.189134,3.524006,589.319444,349.807146,38.247596,189.897132,11.367643
4,0,2,56,2429068667,0,0,0.000000,1317.530612,2.979385,2.673962,588.792722,349.853567,12.827138,214.731191,11.380951
5,0,2,56,533239,0,0,0.000000,1318.102041,2.473850,5.452516,588.676762,349.817995,12.745802,214.739977,11.372974
8,0,2,56,2583,0,0,0.000000,1349.137255,2.583375,3.195619,616.856528,349.870309,40.908072,214.721453,11.356758
14,0,2,56,1597,0,0,0.000000,1358.920000,2.607471,3.680061,627.019100,349.816287,51.141139,214.717401,11.344333
13,0,2,56,1636,0,0,0.000000,1360.460000,2.990605,1.803233,627.555792,349.835428,51.628030,214.735112,11.357439
3,0,2,56,83816,0,0,0.000000,1267.897959,2.994684,2.121666,549.030539,310.060618,12.826243,214.749000,11.394572
9,0,2,56,83617,0,0,0.000000,1265.326531,2.994540,2.112503,545.373329,306.468110,12.760979,214.745710,11.398453
11,0,2,56,18654,0,0,0.000000,1216.469388,2.994563,0.064481,505.746952,266.898795,12.747628,214.717207,11.383277
6,0,2,56,76674413,0,0,0.000000,1352.714286,1.897295,3.757029,619.596408,349.807859,43.755871,214.691381,11.341658
2,0,2,112,1,0,0,0.000000,1052.653061,0.000000,-nan,365.411085,168.209913,12.783714,173.041606,11.375844
4,0,0,14,640133355,0,0,0.000000,918.571429,0.796237,2.681147,248.919840,111.991155,12.447561,113.125257,11.355851
5,0,0,14,170991,0,0,0.000000,921.408163,0.796230,5.436239,252.405676,115.724675,12.375838,112.947046,11.358062
8,0,0,14,870,0,0,0.000000,924.340000,0.795298,3.477668,256.404706,116.608685,15.577227,112.866252,11.352643
14,0,0,14,628,0,0,0.000000,926.860000,0.795040,4.690436,256.372897,116.511714,15.684501,112.822722,11.354014
13,0,0,14,787,0,0,0.000000,928.520000,0.795198,3.187236,257.030878,116.867987,16.006988,112.784870,11.371067
3,0,0,14,22014,0,0,0.000000,913.020408,0.796195,2.120842,244.633210,108.153530,12.396639,112.730433,11.352715
9,0,0,14,22044,0,0,0.000000,913.265306,0.796137,2.114209,244.578754,108.030606,12.427903,112.772116,11.348115
11,0,0,14,4906,0,0,0.000000,911.673469,0.796083,0.064471,244.398287,107.752217,12.429869,112.849923,11.366201
6,0,0,14,34813755,0,0,0.000000,934.979592,0.794164,3.992105,264.174414,124.319139,15.624424,112.880701,11.350254
4,0,0,28,635697121,0,0,0.000000,924.653061,0.796419,2.663709,256.217662,119.517722,12.465265,112.901540,11.333117
5,0,0,28,168686,0,0,0.000000,934.061224,0.796410,5.453932,263.911524,127.238423,12.409963,112.926063,11.337080
8,0,0,28,855,0,0,0.000000,940.220000,0.795798,3.477557,269.701771,128.808871,16.663605,112.884345,11.344970
14,0,0,28,620,0,0,0.000000,945.860000,0.795642,4.694758,274.476123,129.170853,21.146672,112.785868,11.372752
13,0,0,28,774,0,0,0.000000,947.060000,0.795806,3.190906,277.550050,129.556004,23.819417,112.798677,11.375902
3,0,0,28,21785,0,0,0.000000,917.591837,0.796579,2.120835,250.365214,113.849624,12.434847,112.726205,11.354578
9,0,0,28,21744,0,0,0.000000,917.530612,0.796474,2.114167,248.962764,112.484502,12.416408,112.705858,11.356001
11,0,0,28,4852,0,0,0.000000,913.857143,0.796507,0.064473,248.080593,111.566883,12.417633,112.737964,11.358084
6,0,0,28,34353280,0,0,0.000000,960.204082,0.795061,3.989538,288.476124,144.407887,19.921778,112.787736,11.358742
4,0,0,42,627362971,0,0,0.000000,931.857143,0.796400,2.667817,263.842019,127.210113,12.457600,112.821916,11.352422
5,0,0,42,166605,0,0,0.000000,946.000000,0.796447,5.446057,275.468939,138.837444,12.427954,112.858979,11.344521
8,0,0,42,844,0,0,0.000000,955.080000,0.795920,3.478430,283.124021,137.833199,21.054121,112.881659,11.354965
14,0,0,42,615,0,0,0.000000,964.300000,0.795587,4.739188,291.979506,142.085663,25.624925,112.915162,11.353937
13,0,0,42,769,0,0,0.000000,965.760000,0.795902,3.199759,293.352598,141.549750,27.545657,112.903712,11.353620
